,250 scatter peaks interpolated,255 scatter peaks interpolated,260 scatter peaks interpolated,265 scatter peaks interpolated,270 scatter peaks interpolated,275 scatter peaks interpolated,280 scatter peaks interpolated,285 scatter peaks interpolated,290 scatter peaks interpolated,295 scatter peaks interpolated,300 scatter peaks interpolated,305 scatter peaks interpolated,310 scatter peaks interpolated,315 scatter peaks interpolated,320 scatter peaks interpolated,325 scatter peaks interpolated,330 scatter peaks interpolated,335 scatter peaks interpolated,340 scatter peaks interpolated,345 scatter peaks interpolated,350 scatter peaks interpolated,355 scatter peaks interpolated,360 scatter peaks interpolated,365 scatter peaks interpolated,370 scatter peaks interpolated,375 scatter peaks interpolated,380 scatter peaks interpolated,385 scatter peaks interpolated,390 scatter peaks interpolated,395 scatter peaks interpolated,400 scatter peaks interpolated,405 scatter peaks interpolated,410 scatter peaks interpolated,415 scatter peaks interpolated,420 scatter peaks interpolated,425 scatter peaks interpolated,430 scatter peaks interpolated,435 scatter peaks interpolated,440 scatter peaks interpolated,445 scatter peaks interpolated,450 scatter peaks interpolated,
Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,
251.000,1.037614,0.5187767,0.3226203,12.901,10.491,13.957,7.112,7.021,5.41,5.751,6.416,4.575,4.694,4.95,3.491,3.828,4.167,1.371,3.124,3.608,2.063,3.111,2.718,2.701,2.445,2.616,2.314,2.749,2.405,2.261,2.224,2.514,1.814,1.893,2.607,1.876,2.552,1.977,2.029,2.05,2.347,
252.000,0.7882818,1.005396,0.6050546,10.39737,9.59,7.423,4.631,6.262,5.837,2.186,3.447,3.947,5.138,5.294,3.179,2.461,4.914,3.926,1.898,3.02,3.271,2.984,1.91,2.326,3.347,2.671,2.248,2.3,2.455,2.812,1.917,1.954,1.25,2.779,2.289,1.649,1.522,1.388,2.191,2.141,1.974,
253.000,-2.606318,0.9488576,1.234863,8.258866,8.936,5.789,4.846,7.111,3.142,4.402,3.557,4.026,3.011,1.755,2.387,1.327,2.824,3.674,2.239,2.078,3.577,4.139,2.508,1.645,2.488,2.133,1.72,1.85,1.288,2.751,2.214,1.803,1.719,2.362,2.181,2.168,2.289,2.147,1.722,1.166,1.325,
254.000,-3.759041,1.8019,1.418767,11.15406,3.985,6.647,6.59,3.907,5.604,3.891,7.281,4.035,3.422,3.143,1.812,2.853,2.59,1.986,3.491,2.42,1.96,2.886,3.183,2.195,2.329,2.761,2.365,1.562,1.667,3.422,2.059,2.265,1.171,2.098,1.766,1.295,2.407,2.018,1.761,1.462,1.735,
255.000,-2.168519,1.288867,1.738892,13.25778,5.889,8.381,3.082,3.454,4.787,4.157,3.944,2.401,2.861,1.953,2.446,2.787,2.351,2.814,2.996,2.789,2.382,1.758,2.854,2.205,3.794,1.156,1.901,1.917,1.442,1.859,2.231,1.883,1.655,1.723,2.273,1.599,1.124,1.393,1.733,1.281,1.466,
256.000,-2.132599,5.190795,2.701515,14.25922,3.807,4.95,5.094,4.344,5.073,4.836,3.086,2.343,3.736,1.98,3.242,2.06,2.923,2.876,2.409,1.808,2.499,2.042,1.506,2.214,2.527,2.531,1.546,2.167,1.961,1.827,2.934,1.729,1.874,2.07,1.376,2.283,1.534,1.519,1.203,1.966,1.357,
257.000,1.348705,3.163014,2.886073,13.61377,3.725716,7.451,4.098,6.364,3.517,4.374,2.805,3.438,2.015,3.586,4.064,1.241,2.614,1.724,2.223,2.364,1.745,1.933,2.93,2.481,1.839,1.841,1.886,2.486,2.066,1.531,1.396,1.24,2.168,1.75,1.167,1.861,1.516,1.682,1.922,1.308,1.072,
258.000,0.1421813,1.613565,3.637978,12.14499,2.178174,8.253,5.037,5.046,4.275,0.89,3.887,2.69,0.68,2.502,2.521,1.311,0.712,1.928,1.506,1.86,1.9,1.46,2.563,2.405,2.27,1.373,2.82,2.299,1.716,1.599,2.293,1.818,1.285,1.459,1.49,1.2,1.476,1.366,1.337,1.97,1.465,
259.000,2.879228,4.812107,4.113103,14.38175,1.510581,6.633,4.648,4.604,2.82,4.633,3.022,3.035,1.961,2.756,2.652,2.434,2.419,2.703,2.051,1.366,2.721,1.51,1.686,1.704,2.331,1.864,1.586,1.021,1.675,1.816,1.85,1.807,1.305,1.477,1.022,1.035,1.747,1.124,2.045,1.29,1.328,
260.000,2.902636,5.302427,4.563425,14.61753,0.6643978,4.335,7.258,5.296,4.368,4.198,2.369,3.522,3.093,2.562,1.948,2.378,1.505,2.015,2.507,1.892,2.238,2.935,1.46,1.515,1.146,2.186,1.717,2.02,2.556,1.389,1.81,1.532,1.239,1.361,1.147,1.39,1.449,1.357,1.412,1.843,1.133,
261.000,3.919452,6.447621,5.761418,10.49303,0.2901612,2.521,5.88,4.118,3.296,5.586,3.189,2.245,2.711,2.604,1.321,2.285,2.091,2.215,2.079,1.661,1.925,1.915,1.628,1.991,1.595,1.54,1.755,1.234,1.464,1.808,1.335,1.164,0.835,0.8,0.951,1.577,1.56,1.262,0.914,1.316,1.486,
262.000,6.760292,5.859392,6.026271,11.07583,-0.03878341,3.062641,6.871,4.681,4.052,4.735,2.638,2.201,2.715,2.704,0.969,2.778,1.966,2.339,1.69,2.007,1.226,2.453,1.734,1.252,1.737,2.012,2.148,2.125,1.342,1.917,0.97,1.737,1.215,1.791,1.411,1.189,1.461,1.214,0.697,1.124,1.291,
263.000,11.69347,5.774465,6.285285,10.50019,-0.6388143,1.47258,6.568,3.421,4.876,3.499,2.907,2.198,1.773,0.74,1.421,1.198,2.401,1.92,1.887,1.908,1.426,1.107,1.884,1.773,1.291,1.173,1.748,2.548,1.475,1.129,1.066,1.071,1.619,1.529,1.389,1.086,1.329,0.497,1.104,0.927,1.263,
264.000,15.273,7.28414,7.180079,8.945692,1.111689,1.458682,2.105,2.801,4.204,2.74,3.21,1.272,1.767,2.4,1.904,2.311,1.764,1.846,1.707,2.453,1.386,1.667,2.103,1.456,2.001,1.07,1.422,1.675,0.806,1.124,1.237,1.408,1.085,0.904,1.104,1.679,1.417,0.646,1.48,1.199,1.305,
265.000,13.118,7.838146,7.64979,12.88199,0.7820256,0.5085856,4.27,4.212,2.688,2.641,2.526,2.503,3.116,2.297,2.853,1.304,1.098,1.119,2.136,1.394,0.904,2.214,2.073,1.614,1.711,1.295,1.647,1.749,1.152,0.938,1.61,1.525,1.059,1.594,1.609,1.242,1,1.107,1.174,1.307,1.456,
266.000,14.105,8.706769,8.01445,8.545419,0.9883636,0.355147,4.153,3.086,2.102,3.58,2.293,2.307,1.832,1.641,1.939,1.832,2.035,1.893,1.523,1.867,2.162,1.964,0.821,1.254,1.143,0.848,0.855,1.766,1.618,1.752,1.263,1.338,1.462,0.952,1.158,1.4,1.212,1.474,1.459,1.127,1.034,
267.000,29.374,9.750193,7.961447,10.49622,1.647298,0.4485846,2.393799,3.609,2.754,1.958,2.378,1.87,2.225,2.581,2.091,2.029,1.216,1.945,1.559,1.436,1.063,1.766,1.106,1.258,0.997,0.877,1.05,1.599,1.344,1.221,1.252,1.055,0.864,0.882,1.093,1.402,0.728,1.073,1.144,0.926,1.006,
268.000,52.78,10.95265,8.456411,5.12126,1.487658,-0.4344552,2.058628,3.656,3.591,1.843,2.408,2.249,1.953,1.826,2.303,1.932,1.495,2.348,1.336,1.58,1.84,2.069,1.789,1.904,1.058,1.296,2.008,1.145,1.302,1.547,0.774,1.029,0.991,0.762,0.924,1.099,0.618,1.161,0.81,1.092,0.872,
269.000,62.68,13.078,8.668422,10.11008,-0.3784278,-0.01796799,1.867758,4.627,2.785,3.029,2.182,2.163,2.115,0.315,1.902,2.14,1.786,1.344,1.295,0.699,1.178,1.714,1.405,1.688,1.763,1.284,1.404,0.946,1.33,1.049,1.89,0.932,0.938,1.074,0.931,0.524,1.097,0.781,1.085,0.783,0.902,
270.000,90.618,8.944,8.998219,11.09206,1.845951,0.2303227,2.09156,2.828,2.991,2.778,2.621,1.98,1.326,1.723,2.04,2.315,1.457,2.069,0.808,1.774,1.309,1.425,1.054,1.601,1.337,0.771,1.82,0.842,0.75,1.11,1.302,1.068,0.827,0.607,0.967,1.353,1.062,0.867,1.332,0.99,0.798,
271.000,109.255,9.349,9.305665,8.528803,1.418447,0.6109918,0.03527598,3.122,3.154,3.61,1.55,2.334,1.274,2.338,1.998,1.757,1.336,1.382,1.293,1.532,0.823,1.802,1.408,1.142,1.947,0.763,1.144,1.39,1.268,1.088,1.132,1.176,0.701,1.082,0.56,0.831,1.177,1.282,1.169,0.931,0.721,
272.000,118.711,16.618,9.184414,8.203505,1.023585,0.8269308,0.2164527,3.235524,3.325,3.027,1.544,2.812,1.531,1.762,1.899,1.916,1.415,0.999,0.921,0.54,1.311,1.363,1.295,1.104,1.165,1.633,0.944,1.361,0.95,1.018,1.273,0.89,0.985,0.66,0.633,0.927,1.45,0.811,0.756,1.26,0.911,
273.000,91.634,17.296,9.793885,7.491327,0.8211663,0.6150234,0.7413448,2.714524,2.998,1.728,2.396,2.166,2.142,1.424,0.606,1.625,1.526,0.926,1.164,1.609,1.074,1.557,0.937,0.993,1.052,1.764,0.886,1.125,0.523,0.869,0.924,0.711,1.005,0.446,0.664,1.065,0.998,0.8,0.835,1.071,0.619,
274.000,85.628,35.964,9.603,8.398143,2.161138,0.7526733,1.216766,2.962314,2.535,2.162,1.716,1.687,1.291,1.622,1.609,1.564,1.687,1.18,2.856,1.544,1.132,1.069,0.975,1.26,1.797,0.968,1.379,1.222,0.814,1.41,0.915,1.007,1.298,0.931,0.859,0.897,1.284,1.257,0.698,0.779,0.549,
275.000,56.53,64.323,9.648,5.150944,3.00446,1.519833,-0.03084046,3.594729,2.326,2.474,1.728,1.645,1.558,1.644,1.319,1.822,1.265,1.714,1.795,1.7,1.589,1.612,1.276,1.436,1.154,1.23,0.863,1.124,0.714,0.89,0.777,0.596,1.053,1.063,1.157,0.972,0.784,1.019,0.883,0.91,0.89,
276.000,31.53,98.005,7.939,7.449156,4.864223,1.618316,-1.128233,2.276905,2.984,1.971,2.296,1.747,1.236,1.126,1.162,1.386,1.643,0.95,1.324,0.933,1.16,0.859,1.67,1.246,1.1,0.968,1.024,1.094,1.611,0.873,1.006,0.897,0.73,0.987,0.952,1.264,1.149,0.943,0.686,0.981,1.068,
277.000,16.807,107.741,7.553,9.676145,4.71906,2.327203,1.479085,2.98669,2.40806,2.196,1.428,1.64,1.216,2.119,1.221,1.124,1.811,1.203,0.917,1.188,0.948,2.232,1.195,1.191,0.88,0.86,1.239,0.978,1.372,0.935,0.826,0.819,1.056,0.941,1.056,1.025,0.987,1.007,0.672,0.759,0.636,
278.000,16.697,119.678,15.171,8.610597,6.184907,2.577629,0.7113144,3.165112,2.324244,2.062,1.482,1.165,2.059,1.29,0.723,1.424,1.519,1.441,1.838,1.095,1.197,1.139,1.062,1.542,0.702,0.91,0.875,1.09,1.109,0.933,0.875,0.649,0.547,0.744,0.836,0.868,0.686,0.565,0.547,0.648,0.827,
279.000,8.065,107.878,19.282,6.531,6.146548,3.562343,0.4184834,4.095907,2.3294,2.884,1.321,0.97,2.031,1.901,1.163,1.446,1.014,1.063,1.526,1.191,0.788,0.806,0.854,0.829,1.084,0.779,1.125,0.788,1.068,1.311,0.934,0.87,0.899,0.855,0.633,0.775,0.616,0.919,0.677,0.587,0.607,
280.000,6.695,89.678,30.557,7.2,7.066092,3.539227,-0.007979026,4.017471,1.845396,0.527,2.187,0.849,1.348,1.519,1.326,1.861,1.794,1.197,1.467,1.176,1.654,1.251,0.816,0.713,1.012,0.878,1.077,0.85,1.137,1.129,0.734,0.603,0.715,0.586,0.953,1.058,0.658,0.902,0.812,0.884,0.574,
281.000,7.99,64.419,51.141,6.582,5.37401,3.89499,2.306173,5.443205,2.96019,2.553,2.276,1.533,1.683,1.261,1.335,1.141,0.721,1.11,1.651,1.529,1.613,0.996,1.12,1.198,1.32,1.094,0.961,0.784,0.866,0.888,0.565,0.587,0.591,0.903,0.919,0.898,0.739,1.077,0.698,0.449,0.587,
282.000,7.114,35.97,73.607,9.305,5.558291,4.213242,1.086741,4.422738,2.121816,1.967523,2.908,0.911,1.732,0.925,1.57,1.151,1.5,1.116,0.889,1.541,1.141,0.933,0.816,1.123,1.154,1.36,1.098,0.984,0.903,0.747,0.831,0.953,1.016,0.707,0.832,0.875,0.622,0.879,0.828,0.76,0.639,
283.000,4.408,21.548,103.039,7.826,8.799851,4.525455,1.754996,2.665517,1.4808,1.213343,1.035,1.627,1.794,1.011,1.568,1.224,0.961,0.816,1.258,1.588,1.531,1.191,1.214,0.887,1.041,0.935,0.9,0.842,1.065,0.622,1.044,0.984,0.484,0.938,0.718,0.757,0.612,0.816,1.049,0.715,0.738,
284.000,8.229,11.988,106.295,9.213,4.605,5.51465,2.812579,4.201588,1.957293,0.7332719,2.161,1.828,1.486,1.155,1.215,1.214,1.326,0.948,0.89,1.317,1.262,0.887,1.01,1.484,1.191,1.215,0.909,0.805,0.867,0.819,0.413,0.431,0.558,0.912,1.039,0.898,0.644,0.792,0.644,0.915,0.693,
285.000,4.89,8.265,93.601,18.251,6.623,5.176016,4.172358,5.00782,1.018444,1.292119,1.863,1.761,1.863,0.854,1.392,1.324,1.173,0.563,0.681,1.634,1.101,1.465,0.991,1.17,0.871,1.292,0.928,1.29,0.683,0.954,1.297,0.868,0.583,0.454,0.721,0.721,0.626,0.809,0.833,0.476,0.792,
286.000,5.06,5.99,68.883,30.738,5.44,5.592258,3.339877,5.397177,1.482647,1.416205,3.059,1.547,1.836,1.105,1.251,0.792,1.346,0.843,1.304,1.284,0.947,1.067,1.71,1.31,0.981,1.164,1.406,1.276,1.26,0.617,0.901,0.614,0.687,0.911,0.651,0.835,0.595,0.515,0.68,0.515,0.499,
287.000,6.216,6.072,59.179,42.585,3.987,5.513875,2.391031,4.707204,1.56258,2.137001,3.109593,0.984,1.169,0.869,0.603,0.771,0.914,0.753,0.798,0.982,1.111,1.155,0.949,0.636,1.009,0.762,0.731,0.868,1.011,0.906,0.469,0.629,0.871,0.376,0.743,0.525,1.091,0.591,0.908,0.514,0.592,
288.000,6.871,3.654,31.934,67.878,6.885,5.418264,2.804274,5.78193,1.689319,1.170914,2.74703,0.812,1.628,1.419,1.286,1.149,1.124,1.028,0.889,0.963,1.334,0.959,0.973,1.275,1.151,1.173,0.807,0.82,0.88,0.609,0.919,0.338,0.996,0.436,0.737,0.639,0.719,0.648,0.423,0.837,0.81,
289.000,7.451,6.275,16.573,85.789,4.522,5.282,1.537067,4.975402,1.042072,1.679886,2.459871,1.615,1.282,1.159,1.367,0.911,0.54,0.5,1.435,0.644,1.214,0.662,0.858,0.884,0.814,1.467,0.944,0.916,1.024,0.825,0.803,0.336,0.644,0.507,0.745,0.572,0.809,0.627,0.775,0.579,0.616,
